Dose,Setting,Grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,pH,Brew Temperature,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,target_brew_temperature,target_total_dissolved_solids_percent,target_extraction_percent
176.1,1SM,5,2829.1,1.05,16.86856899,5.05,81.1,6,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,1.0,16
145.0,6LG,3,2905.9,0.97,19.43946897,5.01,81.0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,87,1.0,20
119.0,4LG,3,2884.1,0.96,23.26668908,5.11,78.6,2,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,87,1.0,24
215.3,12LG,5,2811.1,1.07,13.97063168,5.08,80.4,7,3,3,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.25,16
176.1,12LG,3,2869.2,1.27,20.69212947,5.02,80.8,8,3,3,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,87,1.25,20
150.0,13SM,4,2919.5,1.095,21.31235,5.04,78.0,6,3,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,87,1.25,24
252.7,5LG,5,2747.2,1.52,16.52451128,5.04,80.3,8,4,4,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,87,1.5,16
207.6,5LG,3,2793.7,1.49,20.05112235,5.06,80.2,8,4,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,87,1.5,20
176.1,4LG,3,2843.5,1.43,23.090318,4.98,78.7,3,3,5,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,87,1.5,24
176.1,6LG,5,2862.8,1.0,16.25667235,5.06,83.3,7,4,3,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,1.0,16
145.0,6LG,3,2878.0,1.05,20.84068966,5.09,83.3,4,4,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,90,1.0,20
121.1,14SM,3,2916.7,0.96,23.12165153,5.07,82.7,7,3,3,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,90,1.0,24
215.3,5SM,5,2837.0,1.245,16.40531816,5.01,83.3,9,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.25,16
176.1,12LG,3,2818.0,1.3,20.80295287,5.12,82.7,8,3,2,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,1.25,20
149.0,4LG,3,2859.9,1.45,27.83124161,5.02,80.8,9,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1.25,24
252.7,5LG,5,2782.1,1.59,17.50510091,4.98,81.4,6,4,4,3,5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,90,1.5,16
207.6,5LG,3,2798.6,1.45,19.54706166,5.01,82.4,8,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,90,1.5,20
176.1,4LG,3,2829.4,1.47,23.61850085,5.03,81.1,2,4,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,90,1.5,24
176.1,2SM,5,2830.6,0.99,15.91308348,5.04,85.8,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,1.0,16
140.3,3LG,3,2860.3,1.02,20.79476835,5.07,86.0,8,4,3,3,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,93,1.0,20
120.0,4LG,3,2857.9,1.005,23.9349125,5.05,83.5,9,3,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,93,1.0,24
215.3,5SM,5,2795.9,1.33,17.27146772,5.04,84.9,6,3,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,93,1.25,16
176.1,1SM,3,2780.3,1.33,20.99829074,5.03,84.6,4,4,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,93,1.25,20
150.0,14SM,3,2831.3,1.215,22.93353,5.07,84.7,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1.25,24
265.0,6LG,5,2735.6,1.585,16.36198491,4.98,84.6,7,3,4,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,1.5,16
207.6,4SM,4,2760.8,1.5,19.94797688,5.03,84.3,2,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,93,1.5,20
176.1,4LG,3,2796.5,1.5,23.82027257,5.06,84.2,9,3,3,3,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,93,1.5,24
176.1,1SM,5,2829.1,1.05,16.86856899,5.05,81.1,5,3,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,1.0,16
145.0,6LG,3,2837.0,1.03,20.15248276,5.1,81.3,3,4,4,4,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,87,1.0,20
119.0,4LG,3,2884.1,0.96,23.26668908,5.11,78.6,7,3,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.0,24
215.3,12LG,5,2879.3,1.31,17.51919647,5.05,80.3,6,5,4,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,87,1.25,16
176.1,12LG,3,2869.2,1.27,20.69212947,5.02,80.8,8,4,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,87,1.25,20
150.0,13SM,4,2901.1,1.24,23.98242667,5.08,79.7,8,4,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,87,1.25,24
252.7,5LG,5,2790.5,1.48,16.34325287,5.01,77.9,4,3,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,87,1.5,16
207.6,5LG,3,2777.0,1.47,19.66372832,5.1,77.8,8,3,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,87,1.5,20
176.1,4LG,3,2843.5,1.43,23.090318,4.98,78.7,9,3,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,87,1.5,24
176.1,6LG,5,2863.9,0.99,16.10028961,5.07,80.2,8,3,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,90,1.0,16
145.0,6LG,3,2872.8,1.04,20.60491034,5.08,79.7,8,4,3,4,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,90,1.0,20
121.1,14SM,3,2916.7,0.96,23.12165153,5.07,82.7,4,3,1,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.0,24
215.3,5SM,5,2819.9,1.27,16.63387366,5.05,82.1,4,3,2,4,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,90,1.25,16
176.1,12LG,3,2826.4,1.27,20.38346394,5.08,79.6,8,3,3,3,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,90,1.25,20
149.0,4LG,3,2861.9,1.26,24.20130201,5.1,82.2,6,3,2,4,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,90,1.25,24
252.7,5LG,5,2782.1,1.59,17.50510091,4.98,81.4,5,4,4,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,90,1.5,16
207.6,5LG,3,2800.4,1.5,20.23410405,5.04,82.6,2,3,5,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,90,1.5,20
176.1,4LG,3,2829.4,1.47,23.61850085,5.03,81.1,7,4,2,3,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,90,1.5,24
176.1,2SM,5,2830.6,0.99,15.91308348,5.04,85.8,8,3,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,93,1.0,16
140.3,3LG,3,2860.3,1.02,20.79476835,5.07,86.0,8,4,3,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,1.0,20
120.0,4LG,3,2864.8,1.04,24.82826667,5.07,83.3,5,4,3,5,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,93,1.0,24
215.3,5SM,5,2792.9,1.33,17.25293544,5.06,81.8,4,4,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,93,1.25,16
176.1,1SM,3,2780.3,1.33,20.99829074,5.03,84.6,7,5,3,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,93,1.25,20
150.0,14SM,3,2820.8,1.22,22.94250667,5.05,84.7,8,5,3,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,93,1.25,24
